Idx_Sample,Mixture Type,Additive Type,SiO2 (%),Al2O3 (%),Fe2O3 (%),CaO (%),MgO (%),LOI (%),Coarse Cggregate (kg/m3),Fine Aggregate (kg/m3),Initial Curing Temp (℃),Final Curing Temp (℃),Nano-Additive (kg/m3),Partical Size (nm),Additive Purity (%),28-d Cubic compressive strength (MPa)
27,geopolymer,nano-SiO2,54.66,22.27,,,,,0,0,80,60,33.01,17,99.9,34.34
28,geopolymer,nano-SiO2,54.66,22.27,,,,,0,0,80,60,47.16,17,99.9,28.51
29,Concrete,nano-SiO2,41.984,9.46,1.369,34.066,5.425,1.625,1099.83,609.83,23,23,0,30,99.5,29.8
30,Concrete,nano-SiO2,42.456,9.377,1.358,33.783,5.376,1.633,1091.3,605.1,23,23,4.5,30,99.5,32.6
31,Concrete,nano-SiO2,42.927,9.293,1.346,33.498,5.328,1.64,1082.78,600.37,23,23,9,30,99.5,34.1
32,Concrete,nano-SiO2,43.405,9.209,1.335,33.214,5.279,1.647,1074.25,595.64,23,23,13.5,30,99.5,35.9
33,Concrete,nano-SiO2,43.882,9.125,1.323,32.928,5.228,1.655,1065.72,590.92,23,23,18,30,99.5,33.4
34,mortar,nano-SiO2,53.4,35.499,2.86,2.14,2.14,,0,613.6,20,20,0,30,99.7,
35,mortar,nano-SiO2,53.4,35.498,2.86,2.14,2.14,,0,613.6,20,20,3.06,30,99.7,
36,mortar,nano-SiO2,53.4,35.499,2.86,2.14,2.14,,0,613.6,20,20,6.14,30,99.7,
37,mortar,nano-SiO2,53.4,35.499,2.86,2.14,2.14,,0,613.6,20,20,9.2,30,99.7,
38,mortar,nano-SiO2,53.4,35.498,2.86,2.14,2.14,,0,613.6,20,20,12.17,30,99.7,
39,mortar,nano-SiO2,53.4,35.498,2.86,2.14,2.14,,0,613.6,20,20,15.34,30,99.7,
40,mortar,nano-SiO2,33.97,8.05,2.36,38.88,3.43,0.7,0,1040,23,23,0,25,98,46.94
41,mortar,nano-SiO2,33.97,8.05,2.36,38.88,3.43,0.7,0,1040,23,23,0,25,98,69.96
42,mortar,nano-SiO2,33.97,8.05,2.36,38.88,3.43,0.7,0,1040,23,23,6.5,25,98,50.46
43,mortar,nano-SiO2,33.97,8.05,2.36,38.88,3.43,0.7,0,1040,23,23,6.5,25,98,48.63
44,mortar,nano-SiO2,33.97,8.05,2.36,38.88,3.43,0.7,0,1040,23,23,13,25,98,43.82
45,mortar,nano-SiO2,33.97,8.05,2.36,38.88,3.43,0.7,0,1040,23,23,13,25,98,59.82
46,Concrete,nano-SiO2,33.59,11.01,1.38,34.07,5.43,2.68,907,790,20,28,0,14,99.65,38
47,Concrete,nano-SiO2,33.59,11.01,1.38,34.07,5.43,2.68,907,790,20,28,10,14,99.65,42
48,Concrete,nano-SiO2,33.59,11.01,1.38,34.07,5.43,2.68,907,790,20,28,20,14,99.65,48
49,Concrete,nano-SiO2,33.59,11.01,1.38,34.07,5.43,2.68,907,790,20,28,30,14,99.65,45
50,Concrete,nano-SiO2,33.59,11.01,1.38,34.07,5.43,2.68,907,790,20,28,40,14,99.65,43
51,Concrete,nano-SiO2,49.365,16.265,4.42,17.86,6.35,1.61,742.88,865.61,70,24,0,,99.8,60.7
52,Concrete,nano-SiO2,49.365,16.265,4.42,17.86,6.35,1.61,740.34,862.65,70,24,5,,99.8,58.4
53,Concrete,nano-SiO2,49.365,16.265,4.42,17.86,6.35,1.61,737.8,859.69,70,24,10,,99.8,57.7
54,Concrete,nano-SiO2,,,,,,,1000,816,,,0,40,99.8,66.17
55,Concrete,nano-SiO2,,,,,,,1000,767,,,18,40,99.8,71.49
56,Concrete,nano-SiO2,,,,,,,1000,718,,,36,40,99.8,78.63
57,geopolymer,nano-SiO2,60.1,25.8,2.58,2.53,0.65,,,,80,20,0,12,99.98,15.37
58,geopolymer,nano-SiO2,60.1,25.8,2.58,2.53,0.65,,,,80,20,1,12,99.98,17.17
59,geopolymer,nano-SiO2,60.1,25.8,2.58,2.53,0.65,,,,80,20,2,12,99.98,22.48
60,geopolymer,nano-SiO2,60.1,25.8,2.58,2.53,0.65,,,,80,20,3,12,99.98,18.29
61,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,0,17,99.8,34.29
62,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,0.2,18,99.8,46.05
63,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,0.4,18,99.8,54.59
64,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,0.6,18,99.8,63.47
65,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,0.8,18,99.8,71.9
66,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,1,18,99.8,69.35
67,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,1.2,18,99.8,67.79
68,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,1.4,18,99.8,64.02
69,slag,nano-SiO2,32.48,16.34,0.65,37.28,8.56,1.63,0,0,20,20,0,30,99.95,48.76
70,slag,nano-SiO2,32.48,16.34,0.65,37.28,8.56,1.63,0,0,20,20,8.6,30,99.95,49.62
71,slag,nano-SiO2,32.48,16.34,0.65,37.28,8.56,1.63,0,0,20,20,17.2,30,99.95,53.62
72,slag,nano-SiO2,32.48,16.34,0.65,37.28,8.56,1.63,0,0,20,20,34.4,30,99.95,54.18
73,slag,nano-SiO2,32.48,16.34,0.65,37.28,8.56,1.63,0,0,20,20,51.6,30,99.95,52.86
74,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,0,50,,78.91
75,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,0.5,50,,84.15
76,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,1,50,,88.54
77,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,1.5,50,,81.8
78,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,1,50,,79.55
79,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,1,100,,85.57
80,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,1,10,,94.9
81,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,60,27,0,10,99,18.57
82,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,4,10,99,14.04
83,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,6,10,99,18.02
84,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,8,10,99,19.06
85,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,10,10,99,19
86,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,4,10,99,30.98
87,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,6,10,99,36.44
88,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,8,10,99,35.88
89,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,10,10,99,33.86
90,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,60,27,0,10,99,37.22
91,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,4,10,99,42.84
92,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,6,10,99,42.48
93,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,8,10,99,39.88
94,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,10,10,99,36.89
95,Concrete,nano-SiO2,59.197,24.363,7.074,2.235,1.404,1.517,1150,575,70,23,0,,99.8,51.52
96,Concrete,nano-SiO2,59.197,24.363,7.074,2.235,1.404,1.517,1150,575,70,23,15,,99.8,48.19
97,Concrete,nano-SiO2,62.352,21.137,7.347,1.568,2.35,2.071,1150,575,70,23,0,,99.8,44.61
98,Concrete,nano-SiO2,62.352,21.137,7.347,1.568,2.35,2.071,1150,575,70,23,15,,99.8,42.53
99,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,0,30,99.82,48.22
100,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,0.5,30,99.82,48.41
101,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,1,30,99.82,51.79
102,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,1.5,30,99.82,53.99
103,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,2,30,99.82,54.26
104,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,2.5,30,99.82,59.75
105,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,3,30,99.82,63.23
106,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,3.5,30,99.82,62.13
107,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,4,30,99.82,59.66
108,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,5,30,99.82,57.01
109,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,6,30,99.82,53.07
110,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,0.5,15,99.99,52.44
111,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,1,15,99.99,55.25
112,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,1.5,15,99.99,59.42
113,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,2,15,99.99,60.22
114,binder,nano-SiO2,22.535,8.395,11.785,37.95,8.655,1.255,0,0,20,20,2.5,15,99.99,50.52
115,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,0,10,99.9,
116,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,10,10,99.9,
117,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,20,10,99.9,
118,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,30,10,99.9,
119,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,0,10,99.9,
120,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,10,10,99.9,
121,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,20,10,99.9,
122,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,30,10,99.9,
123,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,0,10,99.9,
124,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,10,10,99.9,
125,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,20,10,99.9,
126,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,30,10,99.9,
127,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,0,10,99.9,
128,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,10,10,99.9,
129,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,20,10,99.9,
130,geopolymer,nano-SiO2,59.6,38,1.3,0.24,0.24,0.46,0,0,80,20,30,10,99.9,
131,geopolymer,nano-SiO2,,,,,,,0,613.6,20,20,0,30,99,46.91
132,geopolymer,nano-SiO2,,,,,,,0,613.6,20,20,3.06,30,99,47.72
133,geopolymer,nano-SiO2,,,,,,,0,613.6,20,20,6.14,30,99,50.84
134,geopolymer,nano-SiO2,,,,,,,0,613.6,20,20,9.2,30,99,53.65
135,geopolymer,nano-SiO2,,,,,,,0,613.6,20,20,12.27,30,99,53.3
136,geopolymer,nano-SiO2,,,,,,,0,613.6,20,20,15.34,30,99,50.79
137,Concrete,nano-SiO2,38.15,11.64,1.59,30.8,6.65,2,612.28,1104.27,23,23,0,,99.5,
138,Concrete,nano-SiO2,38.15,11.64,1.59,30.8,6.65,2,607.55,1095.72,23,23,4.5,,99.5,
139,Concrete,nano-SiO2,38.15,11.64,1.59,30.8,6.65,2,602.82,1087.2,23,23,9,,99.5,
140,Concrete,nano-SiO2,38.15,11.64,1.59,30.8,6.65,2,598.1,1078.67,23,23,13.5,,99.5,
141,Concrete,nano-SiO2,38.15,11.64,1.59,30.8,6.65,2,593.37,1070.14,23,23,18,,99.5,
142,Concrete,nano-SiO2,35.85,13.39,1.06,37.71,9.1,1.4,55,45,23,23,0,25,99.8,56.3
143,Concrete,nano-SiO2,35.85,13.39,1.06,37.71,9.1,1.4,55,45,23,23,2.07,25,99.8,57.5
144,Concrete,nano-SiO2,35.85,13.39,1.06,37.71,9.1,1.4,55,45,23,23,4.14,25,99.8,60
145,Concrete,nano-SiO2,35.85,13.39,1.06,37.71,9.1,1.4,55,45,23,23,12.42,25,99.8,63
146,Concrete,nano-SiO2,35.85,13.39,1.06,37.71,9.1,1.4,55,45,23,23,20.7,25,99.8,52
147,geopolymer,nano-SiO2,46.69,29.14,13.81,3.29,1.4,0.68,0,0,20,20,0,15,99.5,29.16
148,geopolymer,nano-SiO2,46.69,29.14,13.81,3.29,1.4,0.68,0,0,20,20,2,15,99.5,43.07
149,geopolymer,nano-SiO2,46.69,29.14,13.81,3.29,1.4,0.68,0,0,20,20,4,15,99.5,54.22
150,geopolymer,nano-SiO2,46.69,29.14,13.81,3.29,1.4,0.68,0,0,20,20,6,15,99.5,56.47
151,geopolymer,nano-SiO2,46.69,29.14,13.81,3.29,1.4,0.68,0,0,20,20,8,15,99.5,66.91
152,geopolymer,nano-SiO2,46.69,29.14,13.81,3.29,1.4,0.68,0,0,20,20,10,15,99.5,61.79
153,geopolymer,nano-SiO2,46.69,29.14,13.81,3.29,1.4,0.68,0,0,20,20,12,15,99.5,56.16
154,geopolymer,nano-SiO2,44.131,26.696,12.699,9.321,1.52,0.812,0,0,20,20,0,15,99.5,27.96
155,geopolymer,nano-SiO2,44.118,26.684,12.693,9.351,1.521,0.813,0,0,20,20,2,15,99.5,33.26
156,geopolymer,nano-SiO2,44.105,26.671,12.688,9.382,1.521,0.813,0,0,20,20,4,15,99.5,49.83
157,geopolymer,nano-SiO2,44.092,26.659,12.682,9.413,1.522,0.814,0,0,20,20,6,15,99.5,58.78
158,geopolymer,nano-SiO2,44.079,26.646,12.676,9.444,1.522,0.815,0,0,20,20,8,15,99.5,64.86
159,geopolymer,nano-SiO2,44.065,26.633,12.671,9.476,1.523,0.815,0,0,20,20,10,15,99.5,34.81
160,geopolymer,nano-SiO2,44.052,26.62,12.665,9.508,1.524,0.816,0,0,20,20,12,15,99.5,38.45
161,geopolymer,nano-SiO2,44.18,26.607,11.817,9.614,1.625,0.937,0,0,20,20,0,15,99.5,38.38
162,geopolymer,nano-SiO2,44.168,26.594,11.806,9.646,1.626,0.938,0,0,20,20,2,15,99.5,39.05
163,geopolymer,nano-SiO2,44.155,26.581,11.796,9.678,1.627,0.939,0,0,20,20,4,15,99.5,55.5
164,geopolymer,nano-SiO2,44.142,26.568,11.786,9.71,1.628,0.94,0,0,20,20,6,15,99.5,58.97
165,geopolymer,nano-SiO2,44.129,26.555,11.776,9.743,1.63,0.942,0,0,20,20,8,15,99.5,72.28
166,geopolymer,nano-SiO2,44.116,26.542,11.765,9.776,1.631,0.943,0,0,20,20,10,15,99.5,50.46
167,geopolymer,nano-SiO2,44.103,26.528,11.755,9.81,1.632,0.944,0,0,20,20,12,15,99.5,47.44
168,geopolymer,nano-SiO2,42,21.24,3.291,21.44,5.126,,0,1447,20,20,0,,99.9,35.83
169,geopolymer,nano-SiO2,41.998,21.239,3.291,21.442,5.127,,0,1447,20,20,5.5,,99.9,37.16
170,geopolymer,nano-SiO2,42,21.24,3.292,21.44,5.126,,0,1447,20,20,11,,99.9,37.9
171,geopolymer,nano-SiO2,41.998,21.239,3.291,21.442,5.127,,0,1447,20,20,16.5,,99.9,36.72
172,mortar,nano-SiO2,34.32,13.368,6.513,27.973,6.968,2.588,,1200,20,20,0,23,99.8,53.82
173,mortar,nano-SiO2,34.32,13.368,6.513,27.973,6.968,2.588,,1200,20,20,3,23,99.8,56.14
174,mortar,nano-SiO2,34.32,13.368,6.513,27.973,6.968,2.588,,1200,20,20,6,23,99.8,58.45
175,mortar,nano-SiO2,34.32,13.368,6.513,27.973,6.968,2.588,,1200,20,20,9,23,99.8,62.22
176,mortar,nano-SiO2,34.32,13.368,6.513,27.973,6.968,2.588,,1200,20,20,12,23,99.8,65.7
177,mortar,nano-SiO2,34.32,13.368,6.513,27.973,6.968,2.588,,1200,20,20,15,23,99.8,57.29
178,Concrete,nano-SiO2,40.48,12.9,17.62,11.83,8.33,,1206,650,23,23,0,35,99,25.67
179,Concrete,nano-SiO2,40.48,12.9,17.62,11.83,8.33,,1200,646,23,23,8,35,99,28.09
180,Concrete,nano-SiO2,40.48,12.9,17.62,11.83,8.33,,1188,640,23,23,20,35,99,29.56
181,Concrete,nano-SiO2,40.48,12.9,17.62,11.83,8.33,,1170,630,23,23,40,35,99,45.11
182,Concrete,nano-SiO2,40.48,12.9,17.62,11.83,8.33,,1152,620,23,23,60,35,99,38.02
183,Concrete,nano-SiO2,,,,,,,1176,595,105,105,0,10,99.9,41.03
184,Concrete,nano-SiO2,,,,,,,1176,595,105,105,4.05,10,99.9,41.84
185,Concrete,nano-SiO2,,,,,,,1176,595,105,105,8.1,10,99.9,42.65
186,Concrete,nano-SiO2,,,,,,,1176,595,105,105,12.15,10,99.9,43.65
187,Concrete,nano-SiO2,,,,,,,1176,595,105,105,16.2,10,99.9,45.21
188,Concrete,nano-SiO2,,,,,,,1176,595,105,105,20.25,10,99.9,44.83
189,Concrete,nano-SiO2,,,,,,,1176,595,105,105,25.3,10,99.9,44.33
190,Concrete,nano-SiO2,,,,,,,1200,800,,,0,50,99.8,31.08
191,Concrete,nano-SiO2,,,,,,,1200,800,,,3,50,99.8,37.83
192,Concrete,nano-SiO2,,,,,,,1200,800,,,6,50,99.8,44.51
193,Concrete,nano-SiO2,,,,,,,1200,800,,,9,50,99.8,46.07
194,Concrete,nano-SiO2,55,22,5,6,3,2,1294.64,554.4,60,23,0,12,99.8,35.98
195,Concrete,nano-SiO2,55,22,5,6,3,2,1294.64,554.4,60,23,1.9,12,99.8,37.33
196,Concrete,nano-SiO2,55,22,5,6,3,2,1294.64,554.4,60,23,3.8,12,99.8,38.4
197,Concrete,nano-SiO2,55,22,5,6,3,2,1294.64,554.4,60,23,5.71,12,99.8,39.58
198,Concrete,nano-SiO2,55,22,5,6,3,2,1294.64,554.4,60,23,0,12,99.8,38.65
199,Concrete,nano-SiO2,55,22,5,6,3,2,1294.64,554.4,60,23,1.9,12,99.8,39.79
200,Concrete,nano-SiO2,55,22,5,6,3,2,1294.64,554.4,60,23,3.8,12,99.8,40.95
201,Concrete,nano-SiO2,55,22,5,6,3,2,1294.64,554.4,60,23,5.71,12,99.8,42.21
202,Concrete,nano-SiO2,55,22,5,6,3,2,1294.64,554.4,60,23,0,12,99.8,39.24
203,Concrete,nano-SiO2,55,22,5,6,3,2,1294.64,554.4,60,23,1.9,12,99.8,40.44
204,Concrete,nano-SiO2,55,22,5,6,3,2,1294.64,554.4,60,23,3.8,12,99.8,41.64
205,Concrete,nano-SiO2,55,22,5,6,3,2,1294.64,554.4,60,23,5.71,12,99.8,42.78
206,paste,nano-SiO2,21.07,9.65,27.33,32.58,0.45,,0,0,23,23,0,,99.59,16.92
207,paste,nano-SiO2,21.07,9.65,27.33,32.58,0.45,,0,0,23,23,3,,99.59,17.81
208,paste,nano-SiO2,21.07,9.65,27.33,32.58,0.45,,0,0,23,23,4,,99.59,22.28
209,paste,nano-SiO2,21.07,9.65,27.33,32.58,0.45,,0,0,23,23,5,,99.59,22.69
210,mortar,nano-SiO2,56.185,37.734,2.92,1.589,0.26,0.953,0,613.6,20,20,0,30,99.7,100.92
211,mortar,nano-SiO2,56.185,37.735,2.92,1.589,0.26,0.953,0,613.6,20,20,3.1,30,99.7,102.07
212,mortar,nano-SiO2,56.185,37.734,2.92,1.589,0.26,0.953,0,613.6,20,20,6.1,30,99.7,107.86
213,mortar,nano-SiO2,56.185,37.734,2.92,1.589,0.26,0.953,0,613.6,20,20,9.2,30,99.7,113.06
214,mortar,nano-SiO2,56.185,37.734,2.92,1.589,0.26,0.953,0,613.6,20,20,12.2,30,99.7,111.04
215,mortar,nano-SiO2,56.185,37.735,2.92,1.589,0.26,0.953,0,613.6,20,20,15.3,30,99.7,104.67
216,Concrete,nano-SiO2,53.135,27.715,4.337,7.803,2.807,0.85,1470,490,31,31,0,20,99.9,56.67
217,Concrete,nano-SiO2,53.16,27.726,4.334,7.778,2.799,0.848,1470,490,31,31,0.73,20,99.9,59.9
218,Concrete,nano-SiO2,53.186,27.737,4.33,7.754,2.791,0.846,1470,490,31,31,1.47,20,99.9,57.16
219,Concrete,nano-SiO2,53.211,27.748,4.327,7.729,2.783,0.844,1470,490,31,31,2.2,20,99.9,62.65
220,Concrete,nano-SiO2,53.237,27.759,4.323,7.705,2.775,0.842,1470,490,31,31,2.9,20,99.9,58.92
221,Concrete,nano-SiO2,53.262,27.77,4.32,7.68,2.767,0.84,1470,490,31,31,3.7,20,99.9,54.9
222,geopolymer,nano-SiO2,63.13,24.88,3.07,2.58,0.61,1.45,0,0,80,23,0,22,,37.29
223,geopolymer,nano-SiO2,63.13,24.88,3.07,2.58,0.61,1.45,0,0,80,23,5,22,,38.03
224,geopolymer,nano-SiO2,63.13,24.88,3.07,2.58,0.61,1.45,0,0,80,23,10,22,,40.17
225,geopolymer,nano-SiO2,63.13,24.88,3.07,2.58,0.61,1.45,0,0,80,23,20,22,,44.83
226,geopolymer,nano-SiO2,63.13,24.88,3.07,2.58,0.61,1.45,0,0,80,23,30,22,,42.61
227,Concrete,nano-SiO2,62.5,17.1,2.5,2.05,0.95,0.95,1249,582,27,27,0,,99.35,20.96
228,Concrete,nano-SiO2,62.5,17.1,2.5,2.05,0.95,0.95,1249,582,27,27,4.37,,99.35,23.47
229,Concrete,nano-SiO2,62.5,17.1,2.5,2.05,0.95,0.95,1249,582,27,27,8.74,,99.35,26.7
230,Concrete,nano-SiO2,62.5,17.1,2.5,2.05,0.95,0.95,1249,582,27,27,13.11,,99.35,30.04
231,Concrete,nano-SiO2,62.5,17.1,2.5,2.05,0.95,0.95,1249,582,27,27,17.48,,99.35,25.8
232,geopolymer,nano-SiO2,57.34,22.05,7.92,2.71,1.79,,0,1350,90,23,0,20,98.61,
233,geopolymer,nano-SiO2,57.34,22.05,7.92,2.71,1.79,,0,1350,90,23,4.5,20,98.61,
234,geopolymer,nano-SiO2,57.34,22.05,7.92,2.71,1.79,,0,1350,90,23,9,20,98.61,
235,geopolymer,nano-SiO2,57.34,22.05,7.92,2.71,1.79,,0,1350,90,23,13.5,20,98.61,
236,geopolymer,nano-SiO2,57.34,22.05,7.92,2.71,1.79,,0,1350,90,23,0,20,98.61,
237,geopolymer,nano-SiO2,57.34,22.05,7.92,2.71,1.79,,0,1350,90,23,4.5,20,98.61,
238,geopolymer,nano-SiO2,57.34,22.05,7.92,2.71,1.79,,0,1350,90,23,9,20,98.61,
239,geopolymer,nano-SiO2,57.34,22.05,7.92,2.71,1.79,,0,1350,90,23,13.5,20,98.61,
240,geopolymer,nano-SiO2,57.34,22.05,7.92,2.71,1.79,,0,1350,90,23,0,20,98.61,
241,geopolymer,nano-SiO2,57.34,22.05,7.92,2.71,1.79,,0,1350,90,23,4.5,20,98.61,
242,geopolymer,nano-SiO2,57.34,22.05,7.92,2.71,1.79,,0,1350,90,23,9,20,98.61,
243,geopolymer,nano-SiO2,57.34,22.05,7.92,2.71,1.79,,0,1350,90,23,13.5,20,98.61,
244,mortar,nano-SiO2,53.4,35.498,2.86,2.281,2,,0,613.6,20,20,0,30,99.7,58.34
245,mortar,nano-SiO2,53.4,35.499,2.86,2.28,2,,0,613.6,20,20,2.16,30,99.7,59.42
246,mortar,nano-SiO2,53.4,35.499,2.86,2.28,2,,0,613.6,20,20,4.34,30,99.7,61.21
247,mortar,nano-SiO2,53.402,35.524,2.855,2.269,2,,0,613.6,20,20,6.5,30,99.7,64.16
248,mortar,nano-SiO2,53.4,35.497,2.861,2.282,2,,0,613.6,20,20,8.67,30,99.7,63.89
249,mortar,nano-SiO2,53.4,35.497,2.861,2.282,2,,0,613.6,20,20,10.84,30,99.7,61.21
250,Concrete,nano-SiO2,37.21,11.56,1.01,36.75,8.52,0.02,1000,750,,,0,25,,37.22
251,Concrete,nano-SiO2,37.21,11.56,1.01,36.75,8.52,0.02,1000,750,,,4.5,25,,36.55
252,Concrete,nano-SiO2,37.21,11.56,1.01,36.75,8.52,0.02,1000,750,,,9,25,,39.74
253,Concrete,nano-SiO2,37.21,11.56,1.01,36.75,8.52,0.02,1000,750,,,13.5,25,,50.57
254,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,0,80,99.8,20.61
255,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,0,80,99.8,23.5
256,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,0,80,99.8,29.03
257,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,0,80,99.8,34.61
258,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,1,80,99.8,22.67
259,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,1,80,99.8,27.02
260,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,1,80,99.8,31.93
261,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,1,80,99.8,35.6
262,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,2,80,99.8,24.73
263,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,2,80,99.8,30.6
264,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,2,80,99.8,33.38
265,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,2,80,99.8,37.8
266,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,3,80,99.8,25.6
267,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,3,80,99.8,32.8
268,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,3,80,99.8,35.7
269,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,3,80,99.8,41.9
270,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,4,80,99.8,27.76
271,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,4,80,99.8,35.8
272,mortar,nano-SiO2,37.04,15.22,0.51,37.71,6.84,0.32,,100,23,23,4,80,99.8,38.6
