Idx_Sample,Mixture Type,Additive Type,SiO2 (%),Al2O3 (%),Fe2O3 (%),CaO (%),MgO (%),LOI (%),Coarse Cggregate (kg/m3),Fine Aggregate (kg/m3),Initial Curing Temp (℃),Final Curing Temp (℃),Nano-Additive (kg/m3),Partical Size (nm),Additive Purity (%),28-d Cubic compressive strength (MPa)
526,concrete,nano-Al2O3,48.43,30.8,22.7,9.39,1.62,,1034.08,661.13,100,20,8.48,20,96,42.36
527,geopolymer,nano-TiO2,61.9,25.8,3.92,2.63,0.85,1.42,0,0,80,20,0,20,99.7,25.86
528,geopolymer,nano-TiO2,61.9,25.8,3.92,2.63,0.85,1.42,0,0,80,20,1,20,99.7,27.65
529,geopolymer,nano-TiO2,61.9,25.8,3.92,2.63,0.85,1.42,0,0,80,20,2,20,99.7,28.54
530,geopolymer,nano-TiO2,61.9,25.8,3.92,2.63,0.85,1.42,0,0,80,20,3,20,99.7,31.46
531,geopolymer,nano-TiO2,61.9,25.8,3.92,2.63,0.85,1.42,0,0,80,20,4,20,99.7,27.45
532,concrete,nano-TiO2,59.5,21,1.5,4,0.92,0.95,1293.6,554.4,60,20,0,20,99.5,34.51
533,concrete,nano-TiO2,59.5,21,1.5,4,0.92,0.95,1293.6,554.4,60,20,3.56,20,99.5,40.88
534,concrete,nano-TiO2,59.5,21,1.5,4,0.92,0.95,1293.6,554.4,60,20,7.12,20,99.5,43.11
535,concrete,nano-TiO2,59.5,21,1.5,4,0.92,0.95,1293.6,554.4,60,20,10.68,20,99.5,46.37
536,concrete,nano-TiO2,59.5,21,1.5,4,0.92,0.95,1293.6,554.4,60,20,14.24,20,99.5,50.63
537,concrete,nano-TiO2,59.5,21,1.5,4,0.92,0.95,1293.6,554.4,60,20,17.81,20,99.5,54.59
538,concrete,nano-TiO2,37.73,14.42,1.11,37.34,8.71,1.41,1293.6,554.4,20,20,0,20,99.5,69.86
539,concrete,nano-TiO2,37.73,14.42,1.11,37.34,8.71,1.41,1293.6,554.4,20,20,3.56,20,99.5,71.88
540,concrete,nano-TiO2,37.73,14.42,1.11,37.34,8.71,1.41,1293.6,554.4,20,20,7.12,20,99.5,76.06
541,concrete,nano-TiO2,37.73,14.42,1.11,37.34,8.71,1.41,1293.6,554.4,20,20,10.68,20,99.5,77.98
542,concrete,nano-TiO2,37.73,14.42,1.11,37.34,8.71,1.41,1293.6,554.4,20,20,14.24,20,99.5,79.68
543,concrete,nano-TiO2,37.73,14.42,1.11,37.34,8.71,1.41,1293.6,554.4,20,20,17.81,20,99.5,81.93
544,concrete,Nano-Fly Ash,,,,,,,958,625,30,30,0,53,,40.71
545,concrete,Nano-Fly Ash,,,,,,,958,625,30,30,12,53,,45.12
546,concrete,Nano-Fly Ash,,,,,,,958,625,30,30,24,53,,51.81
547,concrete,Nano-Fly Ash,,,,,,,958,625,30,30,36,53,,56.26
548,concrete,Nano-Fly Ash,,,,,,,958,625,30,30,48,53,,48.43
549,concrete,Nano-Fly Ash,,,,,,,958,625,30,30,60,53,,37.32
550,concrete,nano-Al2O3,,,,,,,1118,710,100,20,0,,,36.72
551,concrete,nano-Al2O3,,,,,,,1118,710,100,20,0.06,,,34.73
552,concrete,nano-Al2O3,,,,,,,1118,710,100,20,2.25,,,39.07
553,concrete,nano-Al2O3,,,,,,,1118,710,100,20,3,,,31.19
554,concrete,nano-Al2O3,,,,,,,1118,710,100,20,9,,,33.28
555,concrete,nano-Al2O3,,,,,,,1118,710,100,20,18,,,32.04
556,concrete,Nano-bentonite,,,,,,,958,625,30,30,0,25,,40.76
557,concrete,Nano-bentonite,,,,,,,958,625,30,30,12,25,,42.24
558,concrete,Nano-bentonite,,,,,,,958,625,30,30,24,25,,45.2
559,concrete,Nano-bentonite,,,,,,,958,625,30,30,36,25,,37.56
560,concrete,Nano-bentonite,,,,,,,958,625,30,30,48,25,,25.06
561,concrete,Nano-bentonite,,,,,,,958,625,30,30,60,25,,13.98
562,geopolymer,nano-CaCO3,62.3,26.7,2.98,2.61,0.66,1.42,0,0,80,20,0,30,97.5,22.18
563,geopolymer,nano-CaCO3,62.3,26.7,2.98,2.61,0.66,1.42,0,0,80,20,1,30,97.5,22.44
564,geopolymer,nano-CaCO3,62.3,26.7,2.98,2.61,0.66,1.42,0,0,80,20,2,30,97.5,19.24
565,geopolymer,nano-CaCO3,62.3,26.7,2.98,2.61,0.66,1.42,0,0,80,20,3,30,97.5,26
566,paste,Nano zinc oxide,38.21,13.62,1.03,30.03,8.35,2.31,0,0,23,23,0.5,54,,37.9
567,paste,Nanozinc oxide,38.21,13.62,1.03,30.03,8.35,2.31,0,0,23,23,1,54,,34.2
568,paste,Nanozinc oxide,38.21,13.62,1.03,30.03,8.35,2.31,0,0,23,23,1.5,54,,32.6
569,paste,Nanohydrozincite,38.21,13.62,1.03,30.03,8.35,2.31,0,0,23,23,0.5,6,,44.1
570,paste,Nanohydrozincite,38.21,13.62,1.03,30.03,8.35,2.31,0,0,23,23,1,6,,27.5
571,paste,Nanohydrozincite,38.21,13.62,1.03,30.03,8.35,2.31,0,0,23,23,1.5,6,,13.1
572,geopolymer,nano-TiO2,53,43.8,0.43,0.02,0.03,0.46,0,0,25,25,0,21,,43.78
573,geopolymer,nano-TiO2,53,43.8,0.43,0.02,0.03,0.46,0,0,25,25,17.78,21,,52.26
574,geopolymer,nano-TiO2,53,43.8,0.43,0.02,0.03,0.46,0,0,25,25,35.41,21,,52.94
575,geopolymer,nano-TiO2,53,43.8,0.43,0.02,0.03,0.46,0,0,25,25,87.44,21,,54.08
576,geopolymer,nano-TiO2,53,43.8,0.43,0.02,0.03,0.46,0,0,25,25,171.36,21,,62.16
577,concrete,nano-Al2O3,49.097,25.274,9.201,7.852,2.154,1.458,1293.6,554.4,23,23,0,35,99.9,26.54
578,concrete,nano-Al2O3,49.097,25.274,9.201,7.852,2.154,1.458,1293.6,554.4,23,23,3.8,35,99.9,28.3
579,concrete,nano-Al2O3,49.097,25.274,9.201,7.852,2.154,1.458,1293.6,554.4,23,23,7.6,35,99.9,30.62
580,concrete,nano-Al2O3,49.097,25.274,9.201,7.852,2.154,1.458,1293.6,554.4,23,23,11.4,35,99.9,27.43
581,concrete,nano-Al2O3,49.097,25.274,9.201,7.852,2.154,1.458,1293.6,554.4,23,23,15.2,35,99.9,25.42
582,paste,nano-Fe203,51,12.7,0.3,25.4,7.3,0.1,0,0,,,0,33,99.2,61.93
583,paste,nano-Fe203,51,12.7,0.3,25.4,7.3,0.1,0,0,,,0.25,33,99.2,68.23
584,paste,nano-Fe203,51,12.7,0.3,25.4,7.3,0.1,0,0,,,0.5,33,99.2,63.85
585,paste,nano-Fe203,51,12.7,0.3,25.4,7.3,0.1,0,0,,,1,33,99.2,63.18
